거래금액,전용면적,년,면적 당 금액
"73,000",59.98,202108,1217.07
"74,900",59.758,202108,1253.39
"69,500",59.98,202108,1158.72
"21,000",44.4,202108,472.97
"107,000",84.98,202108,1259.12
"72,000",60,202108,1200
"70,000",59.96,202108,1167.44
"80,500",84.89,202108,948.29
"82,000",84.89,202108,965.96
"83,000",84.71,202108,979.81
"84,600",59.38,202108,1424.72
"90,000",58.99,202108,1525.68
"104,000",84.97,202108,1223.96
"94,500",129.784,202108,728.13
"83,000",84.89,202108,977.74
"80,000",84.86,202108,942.73
"83,000",84.76,202108,979.24
"69,800",59.98,202108,1163.72
"82,000",84.76,202108,967.44
"98,000",114.85,202108,853.29
"94,400",84.873,202108,1112.25
"81,000",84.89,202108,954.18
"76,000",59.98,202108,1267.09
"95,000",114.85,202108,827.17
"103,000",84.97,202108,1212.19
"89,500",58.99,202108,1517.21
"83,000",59.99,202108,1383.56
"108,500",114.88,202108,944.46
"43,000",54.99,202108,781.96
"115,000",84.98,202108,1353.26
"33,000",63.54,202108,519.36
"51,700",59.94,202108,862.53
"53,000",59.94,202108,884.22
"45,800",59.97,202108,763.72
"59,500",84.9,202108,700.82
"52,000",59.82,202108,869.27
"53,000",59.94,202108,884.22
"67,900",84.6,202108,802.6
"53,700",59.82,202108,897.69
"62,900",84.6,202108,743.5
"44,000",80.87,202108,544.08
"83,500",84.9986,202108,982.37
"74,300",84.93,202108,874.84
"62,000",84.6,202108,732.86
"59,000",41.3,202108,1428.57
"53,300",41.3,202108,1290.56
"68,000",84.88,202108,801.13
"60,000",84.6,202108,709.22
"54,000",44.89,202108,1202.94
"60,000",84.94,202108,706.38
"78,800",84.9909,202108,927.16
"60,000",59.43,202108,1009.59
"64,000",84.94,202108,753.47
"62,000",76.08,202108,814.93
"72,000",49.94,202108,1441.73
"68,000",59.88,202108,1135.6
"87,500",114.78,202108,762.33
"84,500",122.58,202108,689.35
"57,700",84.99,202108,678.9
"9,300",12.01,202108,774.35
"60,000",84.99,202108,705.97
"67,700",59.88,202108,1130.59
"85,000",122.58,202108,693.42
"61,000",63.78,202108,956.41
"62,700",63.78,202108,983.07
"17,000",54.17,202108,313.83
"39,000",59.43,202108,656.23
"61,000",84.99,202108,717.73
"83,900",122.58,202108,684.45
"25,500",49.88,202108,511.23
"65,900",63.78,202108,1033.24
"75,000",114.24,202108,656.51
"44,500",59.67,202108,745.77
"64,500",84.99,202108,758.91
"40,000",63.21,202108,632.81
"40,000",51.38,202108,778.51
"65,000",84.99,202108,764.8
"41,000",58.36,202108,702.54
"74,000",84.93,202108,871.31
"23,200",67.16,202108,345.44
"73,400",84.93,202108,864.24
"55,800",84.77,202108,658.25
"67,000",84.93,202108,788.88
"83,500",84.71,202109,985.72
"100,000",114.88,202109,870.47
"76,500",59.98,202109,1275.43
"105,000",84.93,202109,1236.31
"108,000",114.88,202109,940.11
"113,000",84.15,202109,1342.84
"120,000",114.88,202109,1044.57
"88,000",58.99,202109,1491.78
"88,500",84.705,202109,1044.8
"98,500",114.85,202109,857.64
"97,950",114.85,202109,852.85
"81,900",59.6,202109,1374.16
"99,000",84.97,202109,1165.12
"126,500",114.98,202109,1100.19
"87,000",84.86,202109,1025.22
"87,000",84.86,202109,1025.22
"97,800",84.97,202109,1150.99
"114,500",84.98,202109,1347.38
"97,800",114.85,202109,851.55
"70,000",84.96,202109,823.92
"108,500",84.97,202109,1276.92
"89,800",59.6,202109,1506.71
"74,700",84.91,202109,879.76
"72,000",83.72,202109,860.01
"46,500",71.1,202109,654.01
"60,000",41.3,202109,1452.78
"71,300",76.51,202109,931.9
"39,900",74.73,202109,533.92
"76,250",84.88,202109,898.33
"63,000",84.94,202109,741.7
"55,800",58.65,202109,951.41
"79,000",84.79,202109,931.71
"55,000",59.77,202109,920.19
